speaker,ipu,stimulus,sentence_ons,sentence_off,word_ons,word_off,v1_ons,c2_ons,v2_ons,voice_ons,voice_off,c1_rel,c2_rel
it01,ipu_1,Ripete 'poto' da sempre,13.168487630117209,14.921440602161441,13.721314513719584,14.146834260088605,13.854943,13.974943,14.096260191872615,13.845819997663112,13.979301842511633,13.843843537414966,14.070124716553288
it01,ipu_2,Ripete 'topo' da sempre,16.943555169936417,18.6132912018096,17.42460081973738,17.87693432795955,17.544921,17.673559572324777,17.794921,17.545595772863706,17.71253292207484,17.52872824022114,17.784200318147867
it01,ipu_3,Ripete 'pato' da sempre,20.199932,21.903166356139216,20.681115864773066,21.128189681039167,20.809101702370814,20.95987953844487,21.079099222782496,20.798611700892177,20.976179097367126,20.798309196168407,21.07301209372638
it01,ipu_4,Sentivo 'teto' di nuovo,23.464258633762274,25.053859739867317,24.003674579304988,24.429709627746803,24.14743949277095,24.249126870588338,24.368346554925964,24.142053263549073,24.283928585254543,24.11261904761905,24.34550606463276
it01,ipu_5,Sentivo 'toto' di nuovo,26.27,27.847016946386415,26.801862589555338,27.22263794604108,26.91932904324094,27.04380841953464,27.15601518126417,26.914661389266616,27.068242212185538,26.900222286004205,27.132868480725627
it01,ipu_6,Scrivete 'puco' sul foglio,29.199932,30.89137224900865,29.709558118298947,30.08764982867452,29.846310109156814,29.909932,30.00236601959821,29.84834343421084,29.92537888366414,29.819410984355745,29.989391924863696
it01,ipu_7,Sentivo 'chipo' di nuovo,32.059932,33.64951062138914,32.609932,33.058665832365875,32.80281440513694,32.859932,32.986016661671236,32.80287568552833,32.88153049878395,32.72113505599125,32.95687773433342
it01,ipu_8,Scrivete 'peco' sul foglio,35.034943,36.58349453188862,35.494943,35.86160867015392,35.602205590264276,35.68946172220359,35.82212542521118,35.602913049477074,35.70765904805175,35.59261104806285,35.78859749786752
it01,ipu_9,Ha detto 'poco' sei volte,41.90084841358006,43.504974040356785,42.31082039879845,42.744921,42.438746112412915,42.56193383663425,42.704921,42.43906299974858,42.57647758525989,42.41245622202119,42.644055177626605
it01,ipu_10,Sentivo 'poto' di nuovo,47.404921,48.93334857651943,47.94415766914016,48.361100735735455,48.08155936154088,48.195271106975966,48.29792754382708,48.07875854848889,48.20784174625855,48.05409393371255,48.27769274376417
it01,ipu_11,Sentivo 'puco' di nuovo,50.53060776969284,52.04917746458224,51.04599817952421,51.46925856531035,51.183399871924934,51.27184234059666,51.39660939461571,51.18246658439994,51.296581659176084,51.150939477142536,51.3551466015667
it01,ipu_12,Scrivete 'pito' sul foglio,53.469955,55.11308234655167,53.99437925164141,54.35920443491229,54.10809099707649,54.18863681675967,54.300769232397045,54.10337284414149,54.19857164206342,54.08705481990824,54.277932831134
it01,ipu_13,Ha detto 'puto' sei volte,59.960110368733616,61.41970058774861,60.28894152651849,60.68219464614814,60.41370858053754,60.51478568759094,60.614283464846636,60.40794276661119,60.543881741148965,60.37234173376955,60.59369058078906
it01,ipu_14,Scrivete 'poco' sul foglio,63.514943,65.224989,64.00725691132389,64.404943,64.11938932696125,64.22046643401467,64.354943,64.11802638581948,64.24707331206692,64.10632739671442,64.31450992567635
it01,ipu_15,Ha detto 'pupo' sei volte,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
it01,ipu_16,Ripete 'coco' da sempre,71.644921,73.52326876923362,72.35188651630861,72.80759848597138,72.474921,72.6093238044339,72.754921,72.46916460035658,72.63108224078942,72.43432071331681,72.71648953866365
it01,ipu_17,Scrivete 'teco' sul foglio,75.27,77.13673562413787,75.85471437605733,76.29763443078221,75.99222746163979,76.1,76.2336748560927,75.9895981580988,76.11498444442573,75.96989795918368,76.18939233536467
it01,ipu_18,Scrivete 'tuco' sul foglio,78.419932,80.22,78.94033245194396,79.349932,79.069932,79.14340410158316,79.28571415526733,79.07808423725882,79.16524662258594,79.0476792865552,79.24013621957184
it01,ipu_19,Sentivo 'poco' di nuovo,81.299932,82.80950967968305,81.80269442257288,82.239932,81.92581660385021,82.0313499020879,82.179932,81.92069125775662,82.07393975601961,81.90473908246972,82.13155419210524
it01,ipu_20,Ha detto 'tato' sei volte,84.09254383866562,85.71742063089924,84.51054940368763,84.95506844777975,84.63047360623047,84.76159073434397,84.889509883723,84.62965523321508,84.78374373656239,84.617897807266,84.86514563879106
it01,ipu_21,Scrivete 'papo' sul foglio,87.124921,88.77431931336321,87.6031658431988,88.04288791918918,87.73268398194506,87.86060313132408,87.97892834449968,87.72056295335862,87.89204184085169,87.71980077745384,87.95119763225357
it01,ipu_22,Scrivete 'coco' sul foglio,90.079932,91.76543154158217,90.569932,90.97704577426222,90.69067740419625,90.79213362673391,90.91813570956295,90.68332741442113,90.81151350823053,90.63242621546733,90.86379494655006
it01,ipu_23,Ha detto 'pito' sei volte,93.12579397808757,94.70762976366052,93.51361857069122,93.92851588717552,93.64051112642345,93.739955,93.85324191561531,93.63317698474884,93.7430397899795,93.61806713203678,93.82739790168829
it01,ipu_24,Ha detto 'cupo' sei volte,96.014943,97.7137459528751,96.42391248407881,96.894943,96.584943,96.6726438683647,96.79210038844936,96.57960271465485,96.70523642252714,96.5329582027906,96.77373504833452
it01,ipu_25,Scrivete 'teto' sul foglio,98.889955,100.56,99.37244474590909,99.76026933851273,99.49681043805204,99.58353914441487,99.6915409296969,99.49652506867947,99.60706124068645,99.48156346550219,99.66799486802385
